epoch: 1, training_loss: 1.3597363233566284, training_accuracy: 0.5759999752044678, test_loss: 0.8124195337295532, test_accuracy: 0.7649999856948853
epoch: 2, training_loss: 0.5606374740600586, training_accuracy: 0.8393333554267883, test_loss: 0.6285143494606018, test_accuracy: 0.800000011920929
epoch: 3, training_loss: 0.32707762718200684, training_accuracy: 0.9100000262260437, test_loss: 0.5001464486122131, test_accuracy: 0.8399999737739563
epoch: 4, training_loss: 0.1981973499059677, training_accuracy: 0.949999988079071, test_loss: 0.45605599880218506, test_accuracy: 0.8550000190734863
epoch: 5, training_loss: 0.1305195838212967, training_accuracy: 0.968666672706604, test_loss: 0.5409039855003357, test_accuracy: 0.824999988079071
epoch: 6, training_loss: 0.09015950560569763, training_accuracy: 0.9746666550636292, test_loss: 0.6054723262786865, test_accuracy: 0.8050000071525574
epoch: 7, training_loss: 0.06490342319011688, training_accuracy: 0.984000027179718, test_loss: 0.5051363110542297, test_accuracy: 0.8600000143051147
epoch: 8, training_loss: 0.041660696268081665, training_accuracy: 0.9900000095367432, test_loss: 0.7434918284416199, test_accuracy: 0.8299999833106995
epoch: 9, training_loss: 0.03371652588248253, training_accuracy: 0.9900000095367432, test_loss: 0.6331251859664917, test_accuracy: 0.8700000047683716
epoch: 10, training_loss: 0.027604129165410995, training_accuracy: 0.9919999837875366, test_loss: 0.6437168717384338, test_accuracy: 0.8550000190734863
epoch: 11, training_loss: 0.022685762494802475, training_accuracy: 0.9926666617393494, test_loss: 0.7799327969551086, test_accuracy: 0.8349999785423279
epoch: 12, training_loss: 0.02180606871843338, training_accuracy: 0.9919999837875366, test_loss: 0.7619531154632568, test_accuracy: 0.824999988079071
epoch: 13, training_loss: 0.020410574972629547, training_accuracy: 0.9926666617393494, test_loss: 0.8554943799972534, test_accuracy: 0.8650000095367432
epoch: 14, training_loss: 0.0198520515114069, training_accuracy: 0.9919999837875366, test_loss: 0.9078359007835388, test_accuracy: 0.8500000238418579
epoch: 15, training_loss: 0.01806378923356533, training_accuracy: 0.9926666617393494, test_loss: 0.9071500897407532, test_accuracy: 0.8550000190734863
epoch: 16, training_loss: 0.017544621601700783, training_accuracy: 0.9926666617393494, test_loss: 0.8577490448951721, test_accuracy: 0.8600000143051147
epoch: 17, training_loss: 0.01708126813173294, training_accuracy: 0.9926666617393494, test_loss: 0.9134699106216431, test_accuracy: 0.8600000143051147
epoch: 18, training_loss: 0.01704818569123745, training_accuracy: 0.9919999837875366, test_loss: 1.0035237073898315, test_accuracy: 0.8399999737739563
epoch: 19, training_loss: 0.031001370400190353, training_accuracy: 0.9886666536331177, test_loss: 1.447171688079834, test_accuracy: 0.8199999928474426
epoch: 20, training_loss: 0.024441871792078018, training_accuracy: 0.9886666536331177, test_loss: 1.2404906749725342, test_accuracy: 0.824999988079071
epoch: 21, training_loss: 0.01713044010102749, training_accuracy: 0.9926666617393494, test_loss: 1.2352734804153442, test_accuracy: 0.8399999737739563
epoch: 22, training_loss: 0.016424601897597313, training_accuracy: 0.9926666617393494, test_loss: 1.190548062324524, test_accuracy: 0.8550000190734863
epoch: 23, training_loss: 0.016314543783664703, training_accuracy: 0.9919999837875366, test_loss: 1.2182955741882324, test_accuracy: 0.8650000095367432
epoch: 24, training_loss: 0.0162875484675169, training_accuracy: 0.9919999837875366, test_loss: 1.2498390674591064, test_accuracy: 0.8600000143051147
