epoch: 1, training_loss: 2.3331451416015625, training_accuracy: 0.08799999952316284, test_loss: 2.3248543739318848, test_accuracy: 0.10000000149011612
epoch: 2, training_loss: 2.2817564010620117, training_accuracy: 0.12933333218097687, test_loss: 2.282057285308838, test_accuracy: 0.1599999964237213
epoch: 3, training_loss: 2.2409918308258057, training_accuracy: 0.1653333306312561, test_loss: 2.2485170364379883, test_accuracy: 0.17000000178813934
epoch: 4, training_loss: 2.2022705078125, training_accuracy: 0.1993333399295807, test_loss: 2.2179534435272217, test_accuracy: 0.1550000011920929
epoch: 5, training_loss: 2.1630771160125732, training_accuracy: 0.2266666740179062, test_loss: 2.1864755153656006, test_accuracy: 0.17499999701976776
epoch: 6, training_loss: 2.1190197467803955, training_accuracy: 0.257999986410141, test_loss: 2.150989532470703, test_accuracy: 0.1850000023841858
epoch: 7, training_loss: 2.0717086791992188, training_accuracy: 0.28866666555404663, test_loss: 2.111013412475586, test_accuracy: 0.23000000417232513
epoch: 8, training_loss: 2.019597291946411, training_accuracy: 0.33266666531562805, test_loss: 2.067122220993042, test_accuracy: 0.25999999046325684
epoch: 9, training_loss: 1.9627809524536133, training_accuracy: 0.367333322763443, test_loss: 2.0199790000915527, test_accuracy: 0.2849999964237213
epoch: 10, training_loss: 1.9040144681930542, training_accuracy: 0.41200000047683716, test_loss: 1.9691673517227173, test_accuracy: 0.33000001311302185
epoch: 11, training_loss: 1.8421663045883179, training_accuracy: 0.4506666660308838, test_loss: 1.9139196872711182, test_accuracy: 0.35499998927116394
epoch: 12, training_loss: 1.7755422592163086, training_accuracy: 0.4819999933242798, test_loss: 1.856752634048462, test_accuracy: 0.4000000059604645
epoch: 13, training_loss: 1.7088640928268433, training_accuracy: 0.5113333463668823, test_loss: 1.797540545463562, test_accuracy: 0.41999998688697815
epoch: 14, training_loss: 1.639089822769165, training_accuracy: 0.5333333611488342, test_loss: 1.7372204065322876, test_accuracy: 0.4650000035762787
epoch: 15, training_loss: 1.567431926727295, training_accuracy: 0.5580000281333923, test_loss: 1.6746673583984375, test_accuracy: 0.49000000953674316
epoch: 16, training_loss: 1.495943307876587, training_accuracy: 0.5839999914169312, test_loss: 1.6118496656417847, test_accuracy: 0.4950000047683716
epoch: 17, training_loss: 1.4248906373977661, training_accuracy: 0.6193333268165588, test_loss: 1.5479333400726318, test_accuracy: 0.5299999713897705
epoch: 18, training_loss: 1.3544209003448486, training_accuracy: 0.6526666879653931, test_loss: 1.4849635362625122, test_accuracy: 0.5550000071525574
epoch: 19, training_loss: 1.2857698202133179, training_accuracy: 0.6766666769981384, test_loss: 1.4252089262008667, test_accuracy: 0.5849999785423279
epoch: 20, training_loss: 1.2204852104187012, training_accuracy: 0.6980000138282776, test_loss: 1.3686881065368652, test_accuracy: 0.6150000095367432
epoch: 21, training_loss: 1.1577786207199097, training_accuracy: 0.7099999785423279, test_loss: 1.3152590990066528, test_accuracy: 0.6349999904632568
epoch: 22, training_loss: 1.0984467267990112, training_accuracy: 0.7273333072662354, test_loss: 1.2643872499465942, test_accuracy: 0.6650000214576721
epoch: 23, training_loss: 1.0422852039337158, training_accuracy: 0.746666669845581, test_loss: 1.2186429500579834, test_accuracy: 0.6650000214576721
epoch: 24, training_loss: 0.9911588430404663, training_accuracy: 0.7566666603088379, test_loss: 1.1754993200302124, test_accuracy: 0.6800000071525574
epoch: 25, training_loss: 0.9431107044219971, training_accuracy: 0.7726666927337646, test_loss: 1.1367075443267822, test_accuracy: 0.675000011920929
epoch: 26, training_loss: 0.8990426659584045, training_accuracy: 0.7799999713897705, test_loss: 1.1008387804031372, test_accuracy: 0.6949999928474426
epoch: 27, training_loss: 0.8592079877853394, training_accuracy: 0.7893333435058594, test_loss: 1.0718156099319458, test_accuracy: 0.699999988079071
epoch: 28, training_loss: 0.8211752772331238, training_accuracy: 0.8013333082199097, test_loss: 1.0417087078094482, test_accuracy: 0.699999988079071
epoch: 29, training_loss: 0.7864255905151367, training_accuracy: 0.8106666803359985, test_loss: 1.0109833478927612, test_accuracy: 0.7200000286102295
epoch: 30, training_loss: 0.7548139691352844, training_accuracy: 0.8240000009536743, test_loss: 0.9827174544334412, test_accuracy: 0.7300000190734863
epoch: 31, training_loss: 0.724834144115448, training_accuracy: 0.8293333053588867, test_loss: 0.9595549702644348, test_accuracy: 0.7300000190734863
epoch: 32, training_loss: 0.6966084837913513, training_accuracy: 0.8346666693687439, test_loss: 0.9373777508735657, test_accuracy: 0.7250000238418579
epoch: 33, training_loss: 0.6705806255340576, training_accuracy: 0.8420000076293945, test_loss: 0.9177584648132324, test_accuracy: 0.7450000047683716
epoch: 34, training_loss: 0.6461603045463562, training_accuracy: 0.8479999899864197, test_loss: 0.8971723318099976, test_accuracy: 0.75
epoch: 35, training_loss: 0.6228343844413757, training_accuracy: 0.8526666760444641, test_loss: 0.879927396774292, test_accuracy: 0.7649999856948853
