epoch: 1, training_loss: 1.704274296760559, training_accuracy: 0.4339999854564667, test_loss: 1.1844943761825562, test_accuracy: 0.6050000190734863
epoch: 2, training_loss: 0.7750308513641357, training_accuracy: 0.781333327293396, test_loss: 0.7486146688461304, test_accuracy: 0.75
epoch: 3, training_loss: 0.47301992774009705, training_accuracy: 0.8659999966621399, test_loss: 0.7042073011398315, test_accuracy: 0.7400000095367432
epoch: 4, training_loss: 0.32140904664993286, training_accuracy: 0.9153333306312561, test_loss: 0.6340709924697876, test_accuracy: 0.7749999761581421
epoch: 5, training_loss: 0.23069679737091064, training_accuracy: 0.9419999718666077, test_loss: 0.6817761063575745, test_accuracy: 0.8100000023841858
epoch: 6, training_loss: 0.17152626812458038, training_accuracy: 0.9546666741371155, test_loss: 0.7060999870300293, test_accuracy: 0.7950000166893005
epoch: 7, training_loss: 0.12691621482372284, training_accuracy: 0.9693333506584167, test_loss: 0.7427147030830383, test_accuracy: 0.8100000023841858
epoch: 8, training_loss: 0.09675168991088867, training_accuracy: 0.9786666631698608, test_loss: 0.7496451735496521, test_accuracy: 0.7900000214576721
epoch: 9, training_loss: 0.07496888935565948, training_accuracy: 0.9826666712760925, test_loss: 0.8301277160644531, test_accuracy: 0.7799999713897705
epoch: 10, training_loss: 0.05839424207806587, training_accuracy: 0.9866666793823242, test_loss: 0.816359281539917, test_accuracy: 0.800000011920929
epoch: 11, training_loss: 0.047198228538036346, training_accuracy: 0.9886666536331177, test_loss: 0.9149981737136841, test_accuracy: 0.7850000262260437
epoch: 12, training_loss: 0.03885117545723915, training_accuracy: 0.9900000095367432, test_loss: 0.9349400401115417, test_accuracy: 0.7900000214576721
epoch: 13, training_loss: 0.032744091004133224, training_accuracy: 0.9913333058357239, test_loss: 1.0362223386764526, test_accuracy: 0.7599999904632568
epoch: 14, training_loss: 0.028460223227739334, training_accuracy: 0.9913333058357239, test_loss: 1.064452886581421, test_accuracy: 0.7599999904632568
epoch: 15, training_loss: 0.025440899655222893, training_accuracy: 0.9913333058357239, test_loss: 1.1043797731399536, test_accuracy: 0.7749999761581421
epoch: 16, training_loss: 0.02348729968070984, training_accuracy: 0.9926666617393494, test_loss: 1.1418051719665527, test_accuracy: 0.7850000262260437
epoch: 17, training_loss: 0.022174954414367676, training_accuracy: 0.9926666617393494, test_loss: 1.2198518514633179, test_accuracy: 0.7649999856948853
epoch: 18, training_loss: 0.020993301644921303, training_accuracy: 0.9926666617393494, test_loss: 1.257628321647644, test_accuracy: 0.7799999713897705
epoch: 19, training_loss: 0.020187372341752052, training_accuracy: 0.9926666617393494, test_loss: 1.3257040977478027, test_accuracy: 0.7799999713897705
epoch: 20, training_loss: 0.019524527713656425, training_accuracy: 0.9926666617393494, test_loss: 1.3661720752716064, test_accuracy: 0.7749999761581421
epoch: 21, training_loss: 0.019038036465644836, training_accuracy: 0.9926666617393494, test_loss: 1.4476547241210938, test_accuracy: 0.7699999809265137
epoch: 22, training_loss: 0.01864985190331936, training_accuracy: 0.9926666617393494, test_loss: 1.4554471969604492, test_accuracy: 0.7699999809265137
epoch: 23, training_loss: 0.01828644797205925, training_accuracy: 0.9926666617393494, test_loss: 1.5175923109054565, test_accuracy: 0.7749999761581421
epoch: 24, training_loss: 0.01807745173573494, training_accuracy: 0.9926666617393494, test_loss: 1.5473370552062988, test_accuracy: 0.7850000262260437
epoch: 25, training_loss: 0.0177964698523283, training_accuracy: 0.9926666617393494, test_loss: 1.5796467065811157, test_accuracy: 0.7749999761581421
epoch: 26, training_loss: 0.01756499707698822, training_accuracy: 0.9926666617393494, test_loss: 1.6407831907272339, test_accuracy: 0.7749999761581421
epoch: 27, training_loss: 0.01734420843422413, training_accuracy: 0.9926666617393494, test_loss: 1.6809157133102417, test_accuracy: 0.7749999761581421
epoch: 28, training_loss: 0.017152070999145508, training_accuracy: 0.9919999837875366, test_loss: 1.7376489639282227, test_accuracy: 0.7850000262260437
epoch: 29, training_loss: 0.01696641743183136, training_accuracy: 0.9919999837875366, test_loss: 1.7851285934448242, test_accuracy: 0.7850000262260437
epoch: 30, training_loss: 0.016802264377474785, training_accuracy: 0.9919999837875366, test_loss: 1.8214919567108154, test_accuracy: 0.7850000262260437
