epoch: 1, training_loss: 2.0328102111816406, training_accuracy: 0.3199999928474426, test_loss: 1.6540024280548096, test_accuracy: 0.46000000834465027
epoch: 2, training_loss: 1.1817069053649902, training_accuracy: 0.6806666851043701, test_loss: 0.9773659706115723, test_accuracy: 0.75
epoch: 3, training_loss: 0.7370540499687195, training_accuracy: 0.8159999847412109, test_loss: 0.7365176677703857, test_accuracy: 0.8100000023841858
epoch: 4, training_loss: 0.53725266456604, training_accuracy: 0.8539999723434448, test_loss: 0.6969125866889954, test_accuracy: 0.7950000166893005
epoch: 5, training_loss: 0.4166027903556824, training_accuracy: 0.8966666460037231, test_loss: 0.5949280261993408, test_accuracy: 0.8050000071525574
epoch: 6, training_loss: 0.32996800541877747, training_accuracy: 0.918666660785675, test_loss: 0.5808799266815186, test_accuracy: 0.824999988079071
epoch: 7, training_loss: 0.2653234601020813, training_accuracy: 0.9399999976158142, test_loss: 0.5472292304039001, test_accuracy: 0.8349999785423279
epoch: 8, training_loss: 0.2178102284669876, training_accuracy: 0.9526666402816772, test_loss: 0.5720604062080383, test_accuracy: 0.8199999928474426
epoch: 9, training_loss: 0.18132168054580688, training_accuracy: 0.9613333344459534, test_loss: 0.5344335436820984, test_accuracy: 0.8299999833106995
epoch: 10, training_loss: 0.15090405941009521, training_accuracy: 0.9700000286102295, test_loss: 0.5414507985115051, test_accuracy: 0.8550000190734863
epoch: 11, training_loss: 0.1300676316022873, training_accuracy: 0.9753333330154419, test_loss: 0.5222540497779846, test_accuracy: 0.8299999833106995
epoch: 12, training_loss: 0.11128944158554077, training_accuracy: 0.9786666631698608, test_loss: 0.5495641231536865, test_accuracy: 0.8349999785423279
epoch: 13, training_loss: 0.09690530598163605, training_accuracy: 0.9819999933242798, test_loss: 0.5395940542221069, test_accuracy: 0.8299999833106995
epoch: 14, training_loss: 0.08513377606868744, training_accuracy: 0.984000027179718, test_loss: 0.5437105894088745, test_accuracy: 0.8450000286102295
epoch: 15, training_loss: 0.07423093169927597, training_accuracy: 0.9860000014305115, test_loss: 0.5623615384101868, test_accuracy: 0.8349999785423279
epoch: 16, training_loss: 0.06615640968084335, training_accuracy: 0.9866666793823242, test_loss: 0.586867094039917, test_accuracy: 0.8299999833106995
epoch: 17, training_loss: 0.0581117607653141, training_accuracy: 0.987333357334137, test_loss: 0.5879876017570496, test_accuracy: 0.824999988079071
